state,year,month,n_incidents,n_injured,n_killed,incidents_per_capita,injured_per_capita,killed_per_capita
Illinois,2014,1,1,1,1,0.07761267750310392,0.07761267750310392,0.07761267750310392
Illinois,2014,2,5,1,3,0.3880633875155196,0.07761267750310392,0.23283803250931176
Illinois,2014,3,3,2,0,0.23283803250931176,0.15522535500620785,0
Illinois,2014,4,3,2,2,0.23283803250931176,0.15522535500620785,0.15522535500620785
Illinois,2014,5,4,1,3,0.3104507100124157,0.07761267750310392,0.23283803250931176
Illinois,2014,6,5,4,3,0.3880633875155196,0.3104507100124157,0.23283803250931176
Illinois,2014,7,7,9,2,0.5432887425217274,0.6985140975279353,0.15522535500620785
Illinois,2014,8,11,7,5,0.8537394525341431,0.5432887425217274,0.3880633875155196
Illinois,2014,9,2,1,2,0.15522535500620785,0.07761267750310392,0.15522535500620785
Illinois,2014,10,4,4,2,0.3104507100124157,0.3104507100124157,0.15522535500620785
Illinois,2014,11,2,0,0,0.15522535500620785,0,0
Illinois,2014,12,3,2,0,0.23283803250931176,0.15522535500620785,0
Illinois,2015,1,3,1,2,0.2333012129407828,0.07776707098026094,0.15553414196052187
Illinois,2015,2,0,0,0,0,0,0
Illinois,2015,3,0,0,0,0,0,0
Illinois,2015,4,2,1,0,0.15553414196052187,0.07776707098026094,0
Illinois,2015,5,2,1,1,0.15553414196052187,0.07776707098026094,0.07776707098026094
Illinois,2015,6,2,1,0,0.15553414196052187,0.07776707098026094,0
Illinois,2015,7,0,0,0,0,0,0
Illinois,2015,8,4,4,2,0.31106828392104374,0.31106828392104374,0.15553414196052187
Illinois,2015,9,1,0,0,0.07776707098026094,0,0
Illinois,2015,10,3,1,1,0.2333012129407828,0.07776707098026094,0.07776707098026094
Illinois,2015,11,1,0,0,0.07776707098026094,0,0
Illinois,2015,12,2,1,0,0.15553414196052187,0.07776707098026094,0
Illinois,2016,1,8,7,3,0.6239993098567633,0.5459993961246679,0.23399974119628625
Illinois,2016,2,0,0,0,0,0,0
Illinois,2016,3,1,0,1,0.07799991373209542,0,0.07799991373209542
Illinois,2016,4,2,1,0,0.15599982746419083,0.07799991373209542,0
Illinois,2016,5,2,0,0,0.15599982746419083,0,0
Illinois,2016,6,1,0,1,0.07799991373209542,0,0.07799991373209542
Illinois,2016,7,2,1,0,0.15599982746419083,0.07799991373209542,0
Illinois,2016,8,4,1,0,0.31199965492838166,0.07799991373209542,0
Illinois,2016,9,8,5,2,0.6239993098567633,0.3899995686604771,0.15599982746419083
Illinois,2016,10,2,0,2,0.15599982746419083,0,0.15599982746419083
Illinois,2016,11,5,8,0,0.3899995686604771,0.6239993098567633,0
Illinois,2016,12,4,2,2,0.31199965492838166,0.15599982746419083,0.15599982746419083
Illinois,2017,1,5,4,2,0.3912721886545464,0.3130177509236371,0.15650887546181855
Illinois,2017,2,3,3,1,0.23476331319272783,0.23476331319272783,0.07825443773090927
Illinois,2017,3,2,0,0,0.15650887546181855,0,0
Illinois,2017,4,3,1,1,0.23476331319272783,0.07825443773090927,0.07825443773090927
Illinois,2017,5,6,4,2,0.46952662638545567,0.3130177509236371,0.15650887546181855
Illinois,2017,6,3,0,0,0.23476331319272783,0,0
Illinois,2017,7,5,3,0,0.3912721886545464,0.23476331319272783,0
Illinois,2017,8,3,0,2,0.23476331319272783,0,0.15650887546181855
Illinois,2017,9,4,2,1,0.3130177509236371,0.15650887546181855,0.07825443773090927
Illinois,2017,10,5,2,2,0.3912721886545464,0.15650887546181855,0.15650887546181855
Illinois,2017,11,2,1,0,0.15650887546181855,0.07825443773090927,0
Illinois,2017,12,10,5,2,0.7825443773090928,0.3912721886545464,0.15650887546181855
Indiana,2014,1,2,0,1,0.3033224117043625,0,0.15166120585218126
Indiana,2014,2,3,6,1,0.4549836175565438,0.9099672351130876,0.15166120585218126
Indiana,2014,3,1,0,0,0.15166120585218126,0,0
Indiana,2014,4,2,2,0,0.3033224117043625,0.3033224117043625,0
Indiana,2014,5,2,1,0,0.3033224117043625,0.15166120585218126,0
Indiana,2014,6,1,1,0,0.15166120585218126,0.15166120585218126,0
Indiana,2014,7,2,1,0,0.3033224117043625,0.15166120585218126,0
Indiana,2014,8,3,1,2,0.4549836175565438,0.15166120585218126,0.3033224117043625
Indiana,2014,9,4,2,1,0.606644823408725,0.3033224117043625,0.15166120585218126
Indiana,2014,10,2,3,0,0.3033224117043625,0.4549836175565438,0
Indiana,2014,11,4,3,2,0.606644823408725,0.4549836175565438,0.3033224117043625
Indiana,2014,12,3,4,0,0.4549836175565438,0.606644823408725,0
Indiana,2015,1,2,1,0,0.30264411080285125,0.15132205540142565,0
Indiana,2015,2,2,1,0,0.30264411080285125,0.15132205540142565,0
Indiana,2015,3,3,1,1,0.4539661662042769,0.15132205540142565,0.15132205540142565
Indiana,2015,4,3,3,0,0.4539661662042769,0.4539661662042769,0
Indiana,2015,5,2,1,1,0.30264411080285125,0.15132205540142565,0.15132205540142565
Indiana,2015,6,0,0,0,0,0,0
Indiana,2015,7,2,3,0,0.30264411080285125,0.4539661662042769,0
Indiana,2015,8,2,0,3,0.30264411080285125,0,0.4539661662042769
Indiana,2015,9,0,0,0,0,0,0
Indiana,2015,10,0,0,0,0,0,0
Indiana,2015,11,1,1,0,0.15132205540142565,0.15132205540142565,0
Indiana,2015,12,2,2,3,0.30264411080285125,0.30264411080285125,0.4539661662042769
Indiana,2016,1,2,1,1,0.3014634240456874,0.1507317120228437,0.1507317120228437
Indiana,2016,2,2,0,3,0.3014634240456874,0,0.45219513606853107
Indiana,2016,3,1,0,0,0.1507317120228437,0,0
Indiana,2016,4,2,1,1,0.3014634240456874,0.1507317120228437,0.1507317120228437
Indiana,2016,5,3,2,0,0.45219513606853107,0.3014634240456874,0
Indiana,2016,6,2,0,1,0.3014634240456874,0,0.1507317120228437
Indiana,2016,7,5,3,0,0.7536585601142184,0.45219513606853107,0
Indiana,2016,8,4,5,1,0.6029268480913748,0.7536585601142184,0.1507317120228437
Indiana,2016,9,3,1,0,0.45219513606853107,0.1507317120228437,0
Indiana,2016,10,6,1,2,0.904390272137062,0.1507317120228437,0.3014634240456874
Indiana,2016,11,4,2,0,0.6029268480913748,0.3014634240456874,0
Indiana,2016,12,5,3,2,0.7536585601142184,0.45219513606853107,0.3014634240456874
Indiana,2017,1,2,1,2,0.30038698855735846,0.15019349427867923,0.30038698855735846
Indiana,2017,2,3,2,1,0.4505804828360377,0.30038698855735846,0.15019349427867923
Indiana,2017,3,4,2,1,0.6007739771147169,0.30038698855735846,0.15019349427867923
Indiana,2017,4,5,3,0,0.7509674713933961,0.4505804828360377,0
Indiana,2017,5,3,0,1,0.4505804828360377,0,0.15019349427867923
Indiana,2017,6,2,1,1,0.30038698855735846,0.15019349427867923,0.15019349427867923
Indiana,2017,7,4,2,1,0.6007739771147169,0.30038698855735846,0.15019349427867923
Indiana,2017,8,1,0,1,0.15019349427867923,0,0.15019349427867923
Indiana,2017,9,4,1,0,0.6007739771147169,0.15019349427867923,0
Indiana,2017,10,3,3,2,0.4505804828360377,0.4505804828360377,0.30038698855735846
Indiana,2017,11,4,2,3,0.6007739771147169,0.30038698855735846,0.4505804828360377
Indiana,2017,12,2,0,0,0.30038698855735846,0,0
Alabama,2014,1,6,1,2,1.239208814740141,0.20653480245669015,0.4130696049133803
Alabama,2014,2,2,4,0,0.4130696049133803,0.8261392098267607,0
Alabama,2014,3,1,0,0,0.20653480245669015,0,0
Alabama,2014,4,4,1,2,0.8261392098267607,0.20653480245669015,0.4130696049133803
Alabama,2014,5,1,1,0,0.20653480245669015,0.20653480245669015,0
Alabama,2014,6,4,3,1,0.8261392098267607,0.6196044073700705,0.20653480245669015
Alabama,2014,7,3,1,2,0.6196044073700705,0.20653480245669015,0.4130696049133803
Alabama,2014,8,3,3,2,0.6196044073700705,0.6196044073700705,0.4130696049133803
Alabama,2014,9,1,1,0,0.20653480245669015,0.20653480245669015,0
Alabama,2014,10,2,3,0,0.4130696049133803,0.6196044073700705,0
Alabama,2014,11,5,5,1,1.0326740122834508,1.0326740122834508,0.20653480245669015
Alabama,2014,12,4,1,1,0.8261392098267607,0.20653480245669015,0.20653480245669015
Alabama,2015,1,1,0,0,0.2060858384612642,0,0
Alabama,2015,2,1,0,1,0.2060858384612642,0,0.2060858384612642
Alabama,2015,3,3,1,1,0.6182575153837926,0.2060858384612642,0.2060858384612642
Alabama,2015,4,1,0,0,0.2060858384612642,0,0
Alabama,2015,5,5,3,1,1.0304291923063211,0.6182575153837926,0.2060858384612642
Alabama,2015,6,1,2,0,0.2060858384612642,0.4121716769225284,0
Alabama,2015,7,1,0,1,0.2060858384612642,0,0.2060858384612642
Alabama,2015,8,2,1,1,0.4121716769225284,0.2060858384612642,0.2060858384612642
Alabama,2015,9,1,0,0,0.2060858384612642,0,0
Alabama,2015,10,2,3,0,0.4121716769225284,0.6182575153837926,0
Alabama,2015,11,2,0,1,0.4121716769225284,0,0.2060858384612642
Alabama,2015,12,1,1,1,0.2060858384612642,0.2060858384612642,0.2060858384612642
Alabama,2016,1,6,1,2,1.2336731074683485,0.2056121845780581,0.4112243691561162
Alabama,2016,2,3,5,1,0.6168365537341742,1.0280609228902904,0.2056121845780581
Alabama,2016,3,1,1,0,0.2056121845780581,0.2056121845780581,0
Alabama,2016,4,3,1,1,0.6168365537341742,0.2056121845780581,0.2056121845780581
Alabama,2016,5,2,2,0,0.4112243691561162,0.4112243691561162,0
Alabama,2016,6,2,1,2,0.4112243691561162,0.2056121845780581,0.4112243691561162
Alabama,2016,7,1,0,1,0.2056121845780581,0,0.2056121845780581
Alabama,2016,8,1,1,0,0.2056121845780581,0.2056121845780581,0
Alabama,2016,9,4,3,2,0.8224487383122324,0.6168365537341742,0.4112243691561162
Alabama,2016,10,3,5,1,0.6168365537341742,1.0280609228902904,0.2056121845780581
Alabama,2016,11,3,3,0,0.6168365537341742,0.6168365537341742,0
Alabama,2016,12,5,4,3,1.0280609228902904,0.8224487383122324,0.6168365537341742
Alabama,2017,1,3,2,2,0.6154495058555918,0.4102996705703945,0.4102996705703945
Alabama,2017,2,4,2,2,0.820599341140789,0.4102996705703945,0.4102996705703945
Alabama,2017,3,2,3,0,0.4102996705703945,0.6154495058555918,0
Alabama,2017,4,6,10,2,1.2308990117111835,2.051498352851973,0.4102996705703945
Alabama,2017,5,4,1,3,0.820599341140789,0.20514983528519729,0.6154495058555918
Alabama,2017,6,5,4,3,1.0257491764259865,0.820599341140789,0.6154495058555918
Alabama,2017,7,3,2,1,0.6154495058555918,0.4102996705703945,0.20514983528519729
Alabama,2017,8,5,4,3,1.0257491764259865,0.820599341140789,0.6154495058555918
Alabama,2017,9,1,2,1,0.20514983528519729,0.4102996705703945,0.20514983528519729
Alabama,2017,10,3,5,0,0.6154495058555918,1.0257491764259865,0
Alabama,2017,11,6,4,4,1.2308990117111835,0.820599341140789,0.820599341140789
Alabama,2017,12,1,1,0,0.20514983528519729,0.20514983528519729,0
Florida,2014,1,5,4,2,0.25194106735639393,0.2015528538851152,0.1007764269425576
Florida,2014,2,5,1,2,0.25194106735639393,0.05038821347127879,0.1007764269425576
Florida,2014,3,0,0,0,0,0,0
Florida,2014,4,4,2,2,0.2015528538851152,0.1007764269425576,0.1007764269425576
Florida,2014,5,10,5,5,0.5038821347127879,0.25194106735639393,0.25194106735639393
Florida,2014,6,4,0,3,0.2015528538851152,0,0.15116464041383637
Florida,2014,7,8,1,2,0.4031057077702304,0.05038821347127879,0.1007764269425576
Florida,2014,8,5,3,2,0.25194106735639393,0.15116464041383637,0.1007764269425576
Florida,2014,9,1,0,0,0.05038821347127879,0,0
Florida,2014,10,10,6,5,0.5038821347127879,0.30232928082767274,0.25194106735639393
Florida,2014,11,2,2,2,0.1007764269425576,0.1007764269425576,0.1007764269425576
Florida,2014,12,7,4,1,0.35271749429895155,0.2015528538851152,0.05038821347127879
Florida,2015,1,6,2,3,0.2968968049054478,0.09896560163514924,0.1484484024527239
Florida,2015,2,6,1,2,0.2968968049054478,0.04948280081757462,0.09896560163514924
Florida,2015,3,12,10,3,0.5937936098108956,0.4948280081757463,0.1484484024527239
Florida,2015,4,6,5,0,0.2968968049054478,0.24741400408787315,0
Florida,2015,5,6,4,1,0.2968968049054478,0.1979312032702985,0.04948280081757462
Florida,2015,6,6,2,4,0.2968968049054478,0.09896560163514924,0.1979312032702985
Florida,2015,7,0,0,0,0,0,0
Florida,2015,8,3,3,0,0.1484484024527239,0.1484484024527239,0
Florida,2015,9,4,1,1,0.1979312032702985,0.04948280081757462,0.04948280081757462
Florida,2015,10,5,5,0,0.24741400408787315,0.24741400408787315,0
Florida,2015,11,6,2,4,0.2968968049054478,0.09896560163514924,0.1979312032702985
Florida,2015,12,5,4,3,0.24741400408787315,0.1979312032702985,0.1484484024527239
Florida,2016,1,11,5,5,0.533631468383524,0.2425597583561473,0.2425597583561473
Florida,2016,2,6,3,1,0.29107171002737675,0.14553585501368838,0.04851195167122946
Florida,2016,3,21,13,6,1.0187509850958187,0.630655371725983,0.29107171002737675
Florida,2016,4,13,5,5,0.630655371725983,0.2425597583561473,0.2425597583561473
Florida,2016,5,19,6,4,0.9217270817533596,0.29107171002737675,0.19404780668491783
Florida,2016,6,13,7,4,0.630655371725983,0.3395836616986062,0.19404780668491783
Florida,2016,7,14,6,9,0.6791673233972124,0.29107171002737675,0.4366075650410651
Florida,2016,8,14,6,3,0.6791673233972124,0.29107171002737675,0.14553585501368838
Florida,2016,9,16,7,6,0.7761912267396713,0.3395836616986062,0.29107171002737675
Florida,2016,10,8,4,4,0.38809561336983567,0.19404780668491783,0.19404780668491783
Florida,2016,11,15,7,4,0.7276792750684419,0.3395836616986062,0.19404780668491783
Florida,2016,12,17,5,3,0.8247031784109008,0.2425597583561473,0.14553585501368838
Florida,2017,1,15,10,2,0.7155255155683327,0.4770170103788885,0.09540340207577767
Florida,2017,2,13,3,2,0.620122113492555,0.14310510311366653,0.09540340207577767
Florida,2017,3,15,8,1,0.7155255155683327,0.3816136083031107,0.04770170103788884
Florida,2017,4,14,8,5,0.6678238145304438,0.3816136083031107,0.23850850518944425
