state,year,n_incidents,n_injured,n_killed,incidents_per_capita,injured_per_capita,killed_per_capita
Illinois,2014,50,34,23,3.880633875155196,2.6388310351055333,1.7850915825713902
Illinois,2015,20,10,6,1.5553414196052187,0.7776707098026093,0.4666024258815656
Illinois,2016,39,25,11,3.041996635551721,1.9499978433023852,0.8579990510530495
Illinois,2017,51,25,13,3.990976324276373,1.956360943272732,1.0173076905018206
Indiana,2014,29,24,7,4.398174969713257,3.6398689404523505,1.061628440965269
Indiana,2015,19,13,8,2.875119052627087,1.9671867202185334,1.210576443211405
Indiana,2016,39,19,11,5.878536768890904,2.8639025284340303,1.6580488322512805
Indiana,2017,37,17,13,5.557159288311132,2.553289402737547,1.9525154256228299
Alabama,2014,36,24,11,7.435252888440846,4.956835258960564,2.271882827023592
Alabama,2015,21,11,7,4.327802607686548,2.2669442230739065,1.4426008692288494
Alabama,2016,34,27,13,6.9908142756539755,5.551528983607568,2.672958399514755
Alabama,2017,43,40,21,8.821442917263482,8.20599341140789,4.308146540989142
Florida,2014,61,28,26,3.073681021748006,1.4108699771958062,1.3100935502532485
Florida,2015,65,39,21,3.216382053142351,1.9298292318854104,1.0391388171690672
Florida,2016,167,74,54,8.10149592909532,3.58988442367098,2.619645390246391
Florida,2017,138,80,26,6.58283474322866,3.8161360830311075,1.24024422698511
Washington,2014,48,18,34,6.804018056162916,2.5515067710610935,4.819512789782066
Washington,2015,22,9,7,3.071057143020667,1.2563415585084545,0.9771545455065758
Washington,2016,26,11,8,3.564196874720262,1.507929446997034,1.0966759614523882
Washington,2017,24,14,3,3.2330364597604158,1.8859379348602425,0.40412955747005197
California,2014,133,60,92,3.445866167947061,1.5545260908031853,2.383606672564884
California,2015,24,18,17,0.6166805141419617,0.46251038560647123,0.4368153641838895
California,2016,47,29,13,1.199986202711831,0.740417018694534,0.3319110773458256
California,2017,65,47,18,1.6514858278251834,1.1941512908889789,0.4573345369362046
Missouri,2014,24,15,12,3.9628797057958107,2.476799816122382,1.9814398528979054
Missouri,2015,28,18,10,4.611534237677157,2.9645577242210295,1.6469765134561276
Missouri,2016,44,21,15,7.228359482745167,3.449898844037466,2.4642134600267616
Missouri,2017,48,36,14,7.860257718199935,5.895193288649951,2.2925751678083146
Texas,2014,119,68,55,4.413237293872613,2.521849882212922,2.0397315223780983
Texas,2015,107,54,46,3.895150413963481,1.965776844430168,1.6745506452553283
Texas,2016,146,94,53,5.230273539723749,3.3674363885892626,1.8986609425024565
Texas,2017,135,97,80,4.771114949129489,3.428134444930077,2.827327377261919
Louisiana,2014,19,7,11,4.091289150138038,1.5073170553140138,2.368641086922022
Louisiana,2015,23,11,6,4.930725451204254,2.3581730418802955,1.2862762046619793
Louisiana,2016,48,31,9,10.26049910915354,6.626572341328329,1.9238435829662888
Louisiana,2017,45,27,15,9.634818951046555,5.780891370627933,3.2116063170155185
