state,year,month,n_incidents,n_injured,n_killed,incidents_per_capita,injured_per_capita,killed_per_capita
Illinois,2014,1,27,6,28,2.0955422925838056,0.4656760650186235,2.1731549700869097
Illinois,2014,2,32,6,36,2.4836056800993256,0.4656760650186235,2.794056390111741
Illinois,2014,3,29,3,28,2.250767647590014,0.23283803250931176,2.1731549700869097
Illinois,2014,4,37,16,40,2.871669067614845,1.2418028400496628,3.104507100124157
Illinois,2014,5,59,15,60,4.579147972683131,1.1641901625465587,4.656760650186235
Illinois,2014,6,48,23,50,3.725408520148988,1.7850915825713902,3.880633875155196
Illinois,2014,7,58,24,60,4.501535295180028,1.862704260074494,4.656760650186235
Illinois,2014,8,48,23,47,3.725408520148988,1.7850915825713902,3.647795842645884
Illinois,2014,9,47,19,47,3.647795842645884,1.4746408725589746,3.647795842645884
Illinois,2014,10,38,18,38,2.949281745117949,1.3970281950558705,2.949281745117949
Illinois,2014,11,53,13,56,4.113471907664508,1.008964807540351,4.346309940173819
Illinois,2014,12,53,24,58,4.113471907664508,1.862704260074494,4.501535295180028
Illinois,2015,1,51,7,56,3.9661206199933075,0.5443694968618266,4.3549559748946125
Illinois,2015,2,26,7,26,2.0219438454867844,0.5443694968618266,2.0219438454867844
Illinois,2015,3,37,8,41,2.8773816262696545,0.6221365678420875,3.1884499101906982
Illinois,2015,4,35,6,35,2.7218474843091327,0.4666024258815656,2.7218474843091327
Illinois,2015,5,52,18,56,4.043887690973569,1.3998072776446968,4.3549559748946125
Illinois,2015,6,58,18,60,4.510490116855134,1.3998072776446968,4.666024258815656
Illinois,2015,7,60,19,62,4.666024258815656,1.4775743486249577,4.821558400776178
Illinois,2015,8,72,27,76,5.599229110578787,2.0997109164670453,5.910297394499831
Illinois,2015,9,72,28,76,5.599229110578787,2.1774779874473063,5.910297394499831
Illinois,2015,10,38,11,39,2.9551486972499155,0.8554377807828702,3.0329157682301764
Illinois,2015,11,40,5,39,3.1106828392104373,0.38883535490130466,3.0329157682301764
Illinois,2015,12,47,9,48,3.6550523360722638,0.6999036388223484,3.7328194070525247
Illinois,2016,1,66,22,69,5.147994306318297,1.715998102106099,5.381994047514583
Illinois,2016,2,38,9,38,2.9639967218196257,0.7019992235888587,2.9639967218196257
Illinois,2016,3,55,11,56,4.289995255265247,0.8579990510530495,4.367995168997343
Illinois,2016,4,46,19,49,3.587996031676389,1.4819983609098129,3.821995772872675
Illinois,2016,5,69,18,73,5.381994047514583,1.4039984471777174,5.693993702442965
Illinois,2016,6,76,22,77,5.927993443639251,1.715998102106099,6.005993357371347
Illinois,2016,7,80,26,84,6.239993098567633,2.0279977570344805,6.551992753496014
Illinois,2016,8,93,25,94,7.2539919770848735,1.9499978433023852,7.331991890816969
Illinois,2016,9,72,26,75,5.6159937887108695,2.0279977570344805,5.849993529907156
Illinois,2016,10,90,27,97,7.019992235888587,2.105997670766576,7.5659916320132545
Illinois,2016,11,84,27,88,6.551992753496014,2.105997670766576,6.863992408424396
Illinois,2016,12,67,17,76,5.225994220050392,1.325998533445622,5.927993443639251
Illinois,2017,1,73,24,76,5.712573954356377,1.8781065055418227,5.947337267549105
Illinois,2017,2,54,16,61,4.225739637469101,1.2520710036945484,4.773520701585466
Illinois,2017,3,39,11,49,3.051923071505462,0.8607988150400021,3.8344674488145545
Illinois,2017,4,59,24,62,4.6170118261236475,1.8781065055418227,4.851775139316375
Illinois,2017,5,83,23,88,6.49511833166547,1.7998520678109133,6.886390520320017
Illinois,2017,6,88,19,94,6.886390520320017,1.4868343168872762,7.3559171467054725
Illinois,2017,7,86,31,90,6.729881644858198,2.4258875696581876,7.042899395781835
Illinois,2017,8,81,33,89,6.338609456203652,2.5823964451200063,6.9646449580509255
Illinois,2017,9,72,14,82,5.634319516625468,1.09556212823273,6.41686389393456
Illinois,2017,10,74,9,79,5.7908283920872865,0.7042899395781835,6.1821005807418326
Illinois,2017,11,53,10,55,4.147485199738192,0.7825443773090928,4.30399407520001
Illinois,2017,12,47,9,49,3.6779585733527362,0.7042899395781835,3.8344674488145545
Indiana,2014,1,20,2,21,3.0332241170436256,0.3033224117043625,3.184885322895807
Indiana,2014,2,14,3,19,2.123256881930538,0.4549836175565438,2.8815629111914443
Indiana,2014,3,20,7,24,3.0332241170436256,1.061628440965269,3.6398689404523505
Indiana,2014,4,23,2,24,3.488207734600169,0.3033224117043625,3.6398689404523505
Indiana,2014,5,17,8,20,2.5782404994870816,1.21328964681745,3.0332241170436256
Indiana,2014,6,16,5,18,2.4265792936349,0.7583060292609064,2.729901705339263
Indiana,2014,7,17,1,18,2.5782404994870816,0.15166120585218126,2.729901705339263
Indiana,2014,8,14,3,15,2.123256881930538,0.4549836175565438,2.2749180877827193
Indiana,2014,9,26,6,27,3.9431913521567132,0.9099672351130876,4.094852558008895
Indiana,2014,10,20,3,22,3.0332241170436256,0.4549836175565438,3.336546528747988
Indiana,2014,11,21,1,24,3.184885322895807,0.15166120585218126,3.6398689404523505
Indiana,2014,12,24,3,24,3.6398689404523505,0.4549836175565438,3.6398689404523505
Indiana,2015,1,16,4,17,2.42115288642281,0.6052882216057025,2.5724749418242356
Indiana,2015,2,11,1,14,1.6645426094156819,0.15132205540142563,2.1185087756199588
Indiana,2015,3,22,5,25,3.3290852188313638,0.7566102770071281,3.783051385035641
Indiana,2015,4,18,0,18,2.7237969972256613,0,2.7237969972256613
Indiana,2015,5,18,2,19,2.7237969972256613,0.30264411080285125,2.875119052627087
Indiana,2015,6,25,3,27,3.783051385035641,0.4539661662042769,4.085695495838492
Indiana,2015,7,25,6,26,3.783051385035641,0.9079323324085538,3.9343734404370667
Indiana,2015,8,33,8,36,4.993627828247046,1.210576443211405,5.4475939944513225
